param,value
sp_inv_base_intensity,26.227615
weights,"[-3.755031    2.504211   -3.02539    -1.0833638  -2.1640735  -6.323221
  0.42496264 -3.510401    1.8282154  -4.213385   -4.0384426  -7.32807
 -3.907189    9.726181   27.495768   12.909756    2.2567267   0.5450528
  6.8609433  -2.10348    -1.948346   -8.141766   -6.91016    -4.7565355 ]"
base_intensity,26.227615
