,mean,hess_se,robust_se,z_score,p_value,se_ratio
.sp_inv_base_intensity,1.7303988,0.0010963507,0.00072266377,2394.473,0.0,0.6591538
.logit_branching_ratio,1.9263774,0.0008308506,0.0050323373,382.79974,0.0,6.0568495
.sp_inv_decay_rate,12.584401,0.0016045735,0.009278535,1356.2919,0.0,5.7825556
