param,value
sp_inv_base_intensity,4.687495
logit_branching_ratio,0.95317036
sp_inv_inv_omega,-8.877058
logit_beta,1.8015603
base_intensity,4.696663
branching_ratio,0.7217523
inv_omega,0.00013954438
beta,0.8583387
