,mean,hess_se,robust_se,z_score,p_value,se_ratio
.sp_inv_base_intensity,4.687495,0.0014221034,0.0018791467,2494.4807,0.0,1.3213854
.logit_branching_ratio,0.95317036,0.0003750695,0.0019877707,479.51727,0.0,5.2997394
.sp_inv_inv_omega,-8.877058,0.0001840945,0.00060551724,-14660.289,0.0,3.2891653
.logit_beta,1.8015603,0.0004418342,0.00059763266,3014.4944,0.0,1.3526174
